dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4895833432674408,0.32606908679008484,0.3190789520740509,6.0,True,3.39,0.4906,0.4795,0.516,0.561,0.4779,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.48492324352264404,0.3305920958518982,0.3144736886024475,8.0,True,3.725,0.4626,0.4708,0.5411,0.576,0.4399,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.47341009974479675,0.31866776943206787,0.3118421137332916,13.0,True,5.287,0.4813,0.4824,0.5252,0.548,0.3702,
chameleon,0,,,,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,,,,,,,,,,,,,,,,,,,,"URLError(ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.58699631690979,0.36625513434410095,0.3837719261646271,0.0,True,45.353,,,,,,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.6016483306884766,0.395061731338501,0.42763158679008484,0.0,True,0.73,,,,,,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5540292859077454,0.3058984875679016,0.304824560880661,0.0,True,0.734,,,,,,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5613552927970886,0.31687241792678833,0.3333333432674408,0.0,True,1.275,0.5084,0.5,0.5,0.549,0.5,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.58699631690979,0.36625513434410095,0.3837719261646271,0.0,True,1.215,0.5421,0.62,0.5421,0.6561,0.4666,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.6016483306884766,0.395061731338501,0.42763158679008484,0.0,True,1.283,0.6161,0.62,0.5672,0.6498,0.5775,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5677655935287476,0.3155006766319275,0.33114033937454224,0.0,True,1.173,0.5084,0.5,0.5,0.549,0.5,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.569597065448761,0.340192049741745,0.37280702590942383,0.0,True,1.557,0.5421,0.62,0.5421,0.6561,0.4666,
chameleon,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5897436141967773,0.3854595422744751,0.4166666567325592,0.0,True,1.364,0.6161,0.62,0.5672,0.6498,0.5775,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5421245694160461,0.340192049741745,0.34210526943206787,0.0,True,0.522,,,,,,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5659340620040894,0.38683128356933594,0.37719297409057617,0.0,True,0.62,,,,,,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5888278484344482,0.4348422586917877,0.445175439119339,0.0,True,0.85,,,,,,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.517399251461029,0.31412893533706665,0.3267543911933899,0.0,True,0.432,,,,,,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5421245694160461,0.340192049741745,0.34210526943206787,0.0,True,1.166,0.5498,0.5236,0.539,0.5771,0.4459,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5659340620040894,0.38683128356933594,0.37719297409057617,0.0,True,1.242,0.6067,0.5626,0.5583,0.6376,0.5649,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5888278484344482,0.4348422586917877,0.445175439119339,0.0,True,0.98,0.7109,0.6083,0.5679,0.7344,0.5434,
