dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.47066885232925415,0.3096217215061188,0.2993420958518982,6,True,4.328,0.4699,0.5175,0.5345,0.4786,0.4761
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.46052631735801697,0.31990131735801697,0.3052631616592407,8,True,4.482,0.4253,0.5204,0.5664,0.4979,0.4504
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4413377046585083,0.31085526943206787,0.28684210777282715,13,True,5.509,0.45,0.4738,0.5391,0.5343,0.4075
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4311951696872711,0.3059210479259491,0.28421053290367126,16,True,6.27,0.5201,0.4942,0.5276,0.5,0.3642
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.49287280440330505,0.3075657784938812,0.29144737124443054,6,True,4.112,0.4649,0.5291,0.5276,0.485,0.4702
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4882127046585083,0.31044408679008484,0.2986842095851898,8,True,4.457,0.4749,0.5262,0.5368,0.4551,0.504
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.47450658679008484,0.3125,0.28947368264198303,13,True,5.791,0.4649,0.5551,0.5664,0.4508,0.4249
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.46710526943206787,0.3125,0.27763158082962036,16,True,6.375,0.445,0.5291,0.6153,0.4615,0.3866
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.46957236528396606,0.31866776943206787,0.31381580233573914,6,True,2.823,,,,,
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.46025219559669495,0.31414473056793213,0.31578946113586426,8,True,3.142,,,,,
