algorithm,split,class_label,branch_i,branch_i_kind,branch_i_confuser,branch_j,branch_j_kind,branch_j_confuser,intersection,union,jaccard_overlap
src_v10,5,3,0,root,-1,1,extra,2,100,238,0.42016806722689076
src_v10,5,4,0,root,-1,1,extra,3,71,182,0.3901098901098901
src_v10,6,0,0,root,-1,1,extra,1,92,212,0.4339622641509434
src_v10,6,1,0,root,-1,1,extra,0,100,220,0.45454545454545453
src_v10,6,1,0,root,-1,2,extra,2,79,220,0.35909090909090907
src_v10,6,1,1,extra,0,2,extra,2,32,147,0.21768707482993196
src_v10,6,2,0,root,-1,1,extra,3,86,223,0.38565022421524664
src_v10,6,2,0,root,-1,2,extra,0,83,223,0.3721973094170404
src_v10,6,2,1,extra,3,2,extra,0,11,158,0.06962025316455696
src_v10,6,3,0,root,-1,1,extra,2,96,251,0.38247011952191234
src_v10,6,4,0,root,-1,1,extra,3,76,186,0.40860215053763443
src_v10,7,0,0,root,-1,1,extra,1,93,224,0.41517857142857145
src_v10,7,1,0,root,-1,1,extra,0,94,206,0.4563106796116505
src_v10,7,1,0,root,-1,2,extra,2,76,206,0.36893203883495146
src_v10,7,1,1,extra,0,2,extra,2,40,130,0.3076923076923077
src_v10,7,2,0,root,-1,1,extra,3,92,237,0.3881856540084388
src_v10,7,2,0,root,-1,2,extra,1,87,237,0.3670886075949367
src_v10,7,2,1,extra,3,2,extra,1,26,153,0.16993464052287582
src_v10,7,3,0,root,-1,1,extra,2,95,246,0.3861788617886179
src_v10,7,3,0,root,-1,2,extra,0,93,246,0.3780487804878049
src_v10,7,3,1,extra,2,2,extra,0,1,187,0.0053475935828877
src_v10,7,4,0,root,-1,1,extra,2,71,179,0.39664804469273746
src_v10,8,0,0,root,-1,1,extra,1,92,212,0.4339622641509434
src_v10,8,0,0,root,-1,2,extra,3,76,212,0.3584905660377358
src_v10,8,0,1,extra,1,2,extra,3,54,114,0.47368421052631576
src_v10,8,1,0,root,-1,1,extra,0,97,221,0.43891402714932126
src_v10,8,1,0,root,-1,2,extra,2,81,221,0.3665158371040724
src_v10,8,1,1,extra,0,2,extra,2,37,141,0.2624113475177305
src_v10,8,2,0,root,-1,1,extra,3,86,224,0.38392857142857145
src_v10,8,2,0,root,-1,2,extra,1,90,224,0.4017857142857143
src_v10,8,2,1,extra,3,2,extra,1,38,138,0.2753623188405797
src_v10,8,3,0,root,-1,1,extra,2,103,251,0.4103585657370518
src_v10,8,4,0,root,-1,1,extra,3,79,184,0.42934782608695654
src_v10,9,0,0,root,-1,1,extra,1,95,224,0.42410714285714285
src_v10,9,0,0,root,-1,2,extra,2,84,224,0.375
src_v10,9,0,1,extra,1,2,extra,2,53,126,0.42063492063492064
src_v10,9,1,0,root,-1,1,extra,0,102,239,0.42677824267782427
src_v10,9,1,0,root,-1,2,extra,2,90,239,0.37656903765690375
src_v10,9,1,1,extra,0,2,extra,2,42,150,0.28
src_v10,9,2,0,root,-1,1,extra,3,86,218,0.3944954128440367
src_v10,9,2,0,root,-1,2,extra,1,87,218,0.39908256880733944
src_v10,9,2,1,extra,3,2,extra,1,25,148,0.16891891891891891
src_v10,9,3,0,root,-1,1,extra,2,97,239,0.40585774058577406
src_v10,9,3,0,root,-1,2,extra,0,85,239,0.35564853556485354
src_v10,9,3,1,extra,2,2,extra,0,3,179,0.01675977653631285
src_v10,9,4,0,root,-1,1,extra,3,64,172,0.37209302325581395


