algorithm,split,kind,true_class,other_class,count
src_v10,5,root_confusion,0,4,6
src_v10,5,root_confusion,0,2,11
src_v10,5,root_confusion,0,3,12
src_v10,5,root_confusion,1,0,43
src_v10,5,root_confusion,1,3,17
src_v10,5,root_confusion,1,2,21
src_v10,5,root_confusion,1,4,6
src_v10,5,root_confusion,2,4,22
src_v10,5,root_confusion,2,1,17
src_v10,5,root_confusion,2,3,35
src_v10,5,root_confusion,2,0,26
src_v10,5,root_confusion,3,2,34
src_v10,5,root_confusion,3,4,15
src_v10,5,root_confusion,3,1,8
src_v10,5,root_confusion,3,0,14
src_v10,5,root_confusion,4,2,19
src_v10,5,root_confusion,4,3,25
src_v10,5,root_confusion,4,0,7
src_v10,5,root_confusion,4,1,6
src_v10,5,branch_debug,0,1,21
src_v10,5,branch_debug,1,0,43
src_v10,5,branch_debug,1,2,21
src_v10,5,branch_debug,2,3,35
src_v10,5,branch_debug,2,0,26
src_v10,5,branch_debug,3,2,34
src_v10,5,branch_debug,4,3,25
src_v10,6,root_confusion,0,4,3
src_v10,6,root_confusion,0,1,27
src_v10,6,root_confusion,0,2,8
src_v10,6,root_confusion,0,3,9
src_v10,6,root_confusion,1,2,19
src_v10,6,root_confusion,1,3,10
src_v10,6,root_confusion,1,0,39
src_v10,6,root_confusion,1,4,10
src_v10,6,root_confusion,2,4,21
src_v10,6,root_confusion,2,3,28
src_v10,6,root_confusion,2,1,20
src_v10,6,root_confusion,2,0,27
src_v10,6,root_confusion,3,1,7
src_v10,6,root_confusion,3,2,22
src_v10,6,root_confusion,3,4,19
src_v10,6,root_confusion,3,0,10
src_v10,6,root_confusion,4,2,18
src_v10,6,root_confusion,4,3,25
src_v10,6,root_confusion,4,1,3
src_v10,6,root_confusion,4,0,6
src_v10,6,branch_debug,0,1,27
src_v10,6,branch_debug,1,0,39
src_v10,6,branch_debug,1,2,19
src_v10,6,branch_debug,2,3,28
src_v10,6,branch_debug,2,0,27
src_v10,6,branch_debug,3,2,22
src_v10,6,branch_debug,4,3,25
src_v10,7,root_confusion,0,1,28
src_v10,7,root_confusion,0,2,19
src_v10,7,root_confusion,0,4,3
src_v10,7,root_confusion,0,3,7
src_v10,7,root_confusion,1,0,36
src_v10,7,root_confusion,1,2,20
src_v10,7,root_confusion,1,3,7
src_v10,7,root_confusion,1,4,9
src_v10,7,root_confusion,2,4,20
src_v10,7,root_confusion,2,1,23
src_v10,7,root_confusion,2,3,36
src_v10,7,root_confusion,2,0,23
src_v10,7,root_confusion,3,0,18
src_v10,7,root_confusion,3,1,9
src_v10,7,root_confusion,3,4,15
src_v10,7,root_confusion,3,2,24
src_v10,7,root_confusion,4,2,24
src_v10,7,root_confusion,4,0,6
src_v10,7,root_confusion,4,1,4
src_v10,7,root_confusion,4,3,21
src_v10,7,branch_debug,0,1,28
src_v10,7,branch_debug,1,0,36
src_v10,7,branch_debug,1,2,20
src_v10,7,branch_debug,2,3,36
src_v10,7,branch_debug,2,1,23
src_v10,7,branch_debug,3,2,24
src_v10,7,branch_debug,3,0,18
src_v10,7,branch_debug,4,2,24
src_v10,8,root_confusion,0,3,15
src_v10,8,root_confusion,0,2,10
src_v10,8,root_confusion,0,1,33
src_v10,8,root_confusion,0,4,5
src_v10,8,root_confusion,1,0,37
src_v10,8,root_confusion,1,3,8
src_v10,8,root_confusion,1,2,22
src_v10,8,root_confusion,1,4,8
src_v10,8,root_confusion,2,0,26
src_v10,8,root_confusion,2,4,14
src_v10,8,root_confusion,2,1,28
src_v10,8,root_confusion,2,3,32
src_v10,8,root_confusion,3,4,22
src_v10,8,root_confusion,3,2,28
src_v10,8,root_confusion,3,0,7
src_v10,8,root_confusion,3,1,8
src_v10,8,root_confusion,4,3,37
src_v10,8,root_confusion,4,2,21
src_v10,8,root_confusion,4,0,10
src_v10,8,root_confusion,4,1,7
src_v10,8,branch_debug,0,1,33
src_v10,8,branch_debug,0,3,15
src_v10,8,branch_debug,1,0,37
src_v10,8,branch_debug,1,2,22
src_v10,8,branch_debug,2,3,32
src_v10,8,branch_debug,2,1,28
src_v10,8,branch_debug,3,2,28
src_v10,8,branch_debug,4,3,37
src_v10,9,root_confusion,0,3,13
src_v10,9,root_confusion,0,2,20
src_v10,9,root_confusion,0,1,25
src_v10,9,root_confusion,0,4,4
src_v10,9,root_confusion,1,0,35
src_v10,9,root_confusion,1,2,28
src_v10,9,root_confusion,1,3,14
src_v10,9,root_confusion,1,4,2
src_v10,9,root_confusion,2,1,26
src_v10,9,root_confusion,2,4,22
src_v10,9,root_confusion,2,0,25
src_v10,9,root_confusion,2,3,28
src_v10,9,root_confusion,3,2,28
src_v10,9,root_confusion,3,4,20
src_v10,9,root_confusion,3,0,18
src_v10,9,root_confusion,3,1,7
src_v10,9,root_confusion,4,3,23
src_v10,9,root_confusion,4,1,5
src_v10,9,root_confusion,4,2,16
src_v10,9,root_confusion,4,0,8
src_v10,9,branch_debug,0,1,25
src_v10,9,branch_debug,0,2,20
src_v10,9,branch_debug,1,0,35
src_v10,9,branch_debug,1,2,28
src_v10,9,branch_debug,2,3,28
src_v10,9,branch_debug,2,1,26
src_v10,9,branch_debug,3,2,28
src_v10,9,branch_debug,3,0,18
src_v10,9,branch_debug,4,3,23


