split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,conf_i_to_j,conf_j_to_i,coupling_distance_angle,coupled_confusion_score
3,0,4,1,0,0.790461191167624,26.985097546263603,2.7850845262408757,16,5,11,0.6084932405298524,0.29956590303008124
3,3,0,1,1,0.7343944889306993,24.83367842477041,3.022874273327579,22,8,14,0.7116883239002606,0.48175825002479183
3,3,1,1,0,0.6620418326465363,26.136448328281034,2.819871968253079,18,14,4,0.7501157764306805,0.4154487377154538
3,3,2,1,0,0.4195909722020449,23.11689470631724,3.467398164359656,74,37,37,1.3381496124943262,3.0468637330640043
3,3,4,1,0,0.41975785959909356,24.098511383801014,3.1977378731567145,39,17,22,1.2831317466204306,1.5397580959445167
4,1,0,0,1,0.4364841328906597,14.401277058330173,2.8007518433401435,68,20,48,2.2248012745500687,5.042882888980156
4,1,2,0,0,0.48119112080149085,17.780221445832225,2.6189346213082283,34,20,14,1.6345790205659625,1.8525228899747574
4,1,3,0,0,0.630590177514933,26.75860092110654,2.2871956315455657,25,16,9,0.8288006575741139,0.690667214645095
4,1,4,0,1,0.6777440879326864,33.365759018800446,2.1251328542200625,17,12,5,0.6184348350375714,0.35044640652129044
4,2,0,0,1,0.6021536478731033,17.333615363930544,2.316013997652321,33,10,23,1.339874784754989,1.473862263230488
4,2,1,0,0,0.48119112080149085,17.780221445832225,2.6189346213082283,34,20,14,1.6345790205659625,1.8525228899747574
4,2,3,0,0,0.4265748734822913,25.63367219249706,2.648411720194886,79,42,37,1.2789530273872853,3.367909638786518
4,2,4,0,1,0.40986177144795444,25.027765412755045,2.445471402188662,27,12,15,1.3633306631107212,1.2269975967996491
4,3,0,0,1,0.779292673015435,27.91712895743275,2.208210949799443,22,8,14,0.6428199481170813,0.4714012952858596
4,3,1,0,0,0.630590177514933,26.75860092110654,2.2871956315455657,25,16,9,0.8288006575741139,0.690667214645095
4,3,2,0,0,0.4265748734822913,25.63367219249706,2.648411720194886,79,42,37,1.2789530273872853,3.367909638786518
4,3,4,0,1,0.40525095993901317,26.00249423603357,2.460671422194542,48,21,27,1.3271549464248558,2.1234479142797693
4,0,1,1,0,0.4364841328906597,14.401277058330173,2.8007518433401435,68,20,48,2.2248012745500687,5.042882888980156
4,0,2,1,0,0.6021536478731033,17.333615363930544,2.316013997652321,33,10,23,1.339874784754989,1.473862263230488
4,0,3,1,0,0.779292673015435,27.91712895743275,2.208210949799443,22,8,14,0.6428199481170813,0.4714012952858596
4,0,4,1,1,0.8389631433383912,37.003824012947966,1.9298562975055913,11,3,8,0.4504755270858513,0.1651743599314788
4,4,0,1,1,0.8389631433383912,37.003824012947966,1.9298562975055913,11,3,8,0.4504755270858513,0.1651743599314788
4,4,1,1,0,0.6777440879326864,33.365759018800446,2.1251328542200625,17,12,5,0.6184348350375714,0.35044640652129044
4,4,2,1,0,0.40986177144795444,25.027765412755045,2.445471402188662,27,12,15,1.3633306631107212,1.2269975967996491
4,4,3,1,0,0.40525095993901317,26.00249423603357,2.460671422194542,48,21,27,1.3271549464248558,2.1234479142797693
5,1,0,0,1,0.4379442244359461,12.677546101475949,3.719701854905288,63,23,40,2.24365644032899,4.15736340413901
5,1,2,0,0,0.4937214071142579,17.513816168195635,3.3720839573562595,35,19,16,1.4406139411892607,1.482984939459533
5,1,3,0,1,0.6435528417322715,23.481295214207194,3.1110702260060905,25,16,9,0.8243356784709579,0.6061291753462926
