split,class_label,is_anchor,oof_accuracy,selected_pairs_json,accepted,accepted_eta_basis,accepted_eta_center,geom_gain,correct_harm_rate,correct_residual_increase,reason,sep_gain_terms_json
3,1,0,0.6743119266055045,"[0, 2]",1,0.1,0.010000000000000002,0.05902365586074373,0.0,0.0039600056574244005,accepted,"[0.049171005730267996, 0.00985265013047573]"
3,2,0,0.5570776255707762,"[3, 0]",1,0.1,0.010000000000000002,0.0704609072028294,0.0,0.002500779335727629,accepted,"[0.05103287542845106, 0.019428031774378338]"
3,4,0,0.6944444444444444,"[3, 2]",1,0.1,0.010000000000000002,0.0791681014962948,0.0,0.0016419096750730571,accepted,"[0.04460451153696852, 0.034563589959326284]"
3,0,1,0.7351598173515982,"[1, 2]",1,0.025,0.0025000000000000005,0.014068796654972814,0.0,0.0007969531271859518,accepted,"[0.01153628205083352, 0.002532514604139294]"
3,3,1,0.71875,"[2, 4]",1,0.025,0.0025000000000000005,0.021079339007956416,0.0,0.00024861587317112513,accepted,"[0.015093401960307494, 0.00598593704764892]"
4,1,0,0.6097560975609756,"[0, 2]",1,0.1,0.010000000000000002,0.05821435233356396,0.0,0.002300757869392327,accepted,"[0.04719100075172666, 0.011023351581837301]"
4,2,0,0.5666666666666667,"[3, 1]",1,0.1,0.010000000000000002,0.07257480764417841,0.0,0.0028349916790945465,accepted,"[0.05365462301302586, 0.01892018463115255]"
4,3,0,0.6567796610169492,"[2, 4]",1,0.1,0.010000000000000002,0.08187405226156164,0.0,0.0016293990028733545,accepted,"[0.05397359912873118, 0.027900453132830447]"
4,0,1,0.8038277511961722,"[1, 2]",1,0.025,0.0025000000000000005,0.015041988813735101,0.0,0.000713044393490309,accepted,"[0.012824743041349252, 0.0022172457723858494]"
4,4,1,0.7120418848167539,"[3, 2]",1,0.025,0.0025000000000000005,0.018869589195779725,0.0,0.0003104375495649671,accepted,"[0.013470170901246184, 0.005399418294533541]"
5,1,0,0.6121495327102804,"[0, 2]",1,0.1,0.010000000000000002,0.06040353319197887,0.0,0.003570940697955225,accepted,"[0.048197777436956704, 0.01220575575502217]"
5,2,0,0.5775862068965517,"[3, 1]",1,0.1,0.010000000000000002,0.07208900715786341,0.007462686567164179,0.0026658065350968914,accepted,"[0.05019059179893067, 0.02189841535893274]"
5,4,0,0.7032967032967034,"[2, 3]",1,0.1,0.010000000000000002,0.07967883669923717,0.0,0.002270705501141527,accepted,"[0.04318571295894559, 0.03649312374029159]"
5,0,1,0.7699115044247787,"[1, 2]",1,0.025,0.0025000000000000005,0.014445912773537475,0.0,0.0007190386922568809,accepted,"[0.011882600146165904, 0.0025633126273715717]"
5,3,1,0.7184873949579832,"[2, 4]",1,0.025,0.0025000000000000005,0.02106493728221459,0.0,0.0002256731551150157,accepted,"[0.015125215869020487, 0.005939721413194103]"
6,1,0,0.6454545454545455,"[0, 2]",1,0.1,0.010000000000000002,0.057136144203566434,0.0,0.002098671454111881,accepted,"[0.03629392351243919, 0.020842220691127247]"
6,2,0,0.515695067264574,"[1, 4]",1,0.1,0.010000000000000002,0.05620323280238631,0.0,0.001269689935561464,accepted,"[0.03341507204792756, 0.022788160754458747]"
6,4,0,0.6827956989247311,"[3, 2]",1,0.1,0.010000000000000002,0.0746236266499678,0.0,0.001977751419081348,accepted,"[0.044671200275078725, 0.029952426374889075]"
6,0,1,0.7547169811320755,"[1, 2]",1,0.025,0.0025000000000000005,0.014753431938556272,0.0,0.0005259386593995261,accepted,"[0.011051465021601802, 0.00370196691695447]"
6,3,1,0.7290836653386454,"[4, 2]",1,0.025,0.0025000000000000005,0.01936832260542652,0.0,0.00022278184114214508,accepted,"[0.011295766273031, 0.008072556332395522]"
7,1,0,0.5970873786407767,"[0, 2]",1,0.1,0.010000000000000002,0.06576022829644235,0.0,0.0023865954835474937,accepted,"[0.04652078703470641, 0.019239441261735938]"
7,2,0,0.5738396624472574,"[3, 1]",1,0.1,0.010000000000000002,0.06340245946507778,0.0,0.0023015473088282166,accepted,"[0.03132979555868248, 0.03207266390639529]"
7,4,0,0.6815642458100558,"[2, 3]",1,0.1,0.010000000000000002,0.0803473018531563,0.0,0.0015069808678433228,accepted,"[0.04783155496253115, 0.032515746890625155]"
7,0,1,0.7723214285714286,"[1, 2]",1,0.025,0.0025000000000000005,0.0149164765966598,0.0,0.0005960863385900897,accepted,"[0.01181208668313391, 0.0031043899135258885]"
7,3,1,0.7439024390243902,"[2, 4]",1,0.025,0.0025000000000000005,0.019283213508075204,0.0,0.00024496594330207657,accepted,"[0.01232031823570524, 0.0069628952723699645]"
8,1,0,0.6606334841628959,"[0, 2]",1,0.1,0.010000000000000002,0.05717112294092417,0.0,0.002461400767774675,accepted,"[0.04159958358676713, 0.015571539354157041]"
8,2,0,0.5535714285714286,"[1, 3]",1,0.1,0.010000000000000002,0.06541201205580977,0.0,0.001975442710438487,accepted,"[0.0317873544775863, 0.03362465757822347]"
8,4,0,0.592391304347826,"[3, 2]",1,0.1,0.010000000000000002,0.08089780823039573,0.0,0.001347470066490215,accepted,"[0.05692112116695843, 0.023976687063437297]"
8,3,1,0.7410358565737052,"[4, 2]",1,0.025,0.0025000000000000005,0.019159554596005605,0.0,0.0002829924521739248,accepted,"[0.010163024193299189, 0.008996530402706416]"
8,0,1,0.7028301886792453,"[1, 2]",1,0.025,0.0025000000000000005,0.015599232403456169,0.0,0.0007351194480652333,accepted,"[0.013172232449395357, 0.0024269999540608113]"
9,1,0,0.6694560669456067,"[0, 2]",1,0.1,0.010000000000000002,0.06100465186743283,0.0,0.002896584450905472,accepted,"[0.0373135525622609, 0.023691099305171933]"
9,2,0,0.536697247706422,"[1, 3]",1,0.1,0.010000000000000002,0.06464485643219828,0.0,0.002853095600966232,accepted,"[0.035703042310690575, 0.02894181412150771]"
9,3,0,0.694560669456067,"[2, 4]",1,0.1,0.010000000000000002,0.0786589607325232,0.0,0.0012126717389813726,accepted,"[0.047483804560094545, 0.03117515617242865]"
9,0,1,0.7232142857142857,"[1, 2]",1,0.025,0.0025000000000000005,0.014243537477380403,0.0,0.0006653784223507494,accepted,"[0.01019732152578835, 0.004046215951592054]"
