split,record_kind,class_label,other_class,count,class_scale,seed_size,median_gain,branch_debug_index
7,branch_debug,3,0,93,2.3778222488531,18,1.0319326522785108,1
7,branch_debug,4,2,71,2.958819690144109,24,1.3632610716834135,0
8,oof_confusion,0,3,15,2.106932181393095,,,
8,oof_confusion,0,2,10,2.106932181393095,,,
8,oof_confusion,0,1,33,2.106932181393095,,,
8,oof_confusion,0,4,5,2.106932181393095,,,
8,oof_confusion,1,0,37,2.2050078599534464,,,
8,oof_confusion,1,3,8,2.2050078599534464,,,
8,oof_confusion,1,2,22,2.2050078599534464,,,
8,oof_confusion,1,4,8,2.2050078599534464,,,
8,oof_confusion,2,0,26,2.978948409681637,,,
8,oof_confusion,2,4,14,2.978948409681637,,,
8,oof_confusion,2,1,28,2.978948409681637,,,
8,oof_confusion,2,3,32,2.978948409681637,,,
8,oof_confusion,3,4,22,2.683243861954967,,,
8,oof_confusion,3,2,28,2.683243861954967,,,
8,oof_confusion,3,0,7,2.683243861954967,,,
8,oof_confusion,3,1,8,2.683243861954967,,,
8,oof_confusion,4,3,37,3.2593266804631007,,,
8,oof_confusion,4,2,21,3.2593266804631007,,,
8,oof_confusion,4,0,10,3.2593266804631007,,,
8,oof_confusion,4,1,7,3.2593266804631007,,,
8,branch_debug,0,1,92,2.106932181393095,33,0.26029518231152116,0
8,branch_debug,0,3,76,2.106932181393095,15,0.2576923638866707,1
8,branch_debug,1,0,97,2.2050078599534464,37,0.2617843169618548,0
8,branch_debug,1,2,81,2.2050078599534464,22,0.3746604315842328,1
8,branch_debug,2,3,86,2.978948409681637,32,0.5664631404707563,0
8,branch_debug,2,1,90,2.978948409681637,28,0.5051070530731543,1
8,branch_debug,3,2,103,2.683243861954967,28,0.45359852811397383,0
8,branch_debug,4,3,79,3.2593266804631007,37,0.49142854583436346,0
9,oof_confusion,0,3,13,1.9388596576709207,,,
9,oof_confusion,0,2,20,1.9388596576709207,,,
9,oof_confusion,0,1,25,1.9388596576709207,,,
9,oof_confusion,0,4,4,1.9388596576709207,,,
9,oof_confusion,1,0,35,2.224878106983475,,,
9,oof_confusion,1,2,28,2.224878106983475,,,
9,oof_confusion,1,3,14,2.224878106983475,,,
9,oof_confusion,1,4,2,2.224878106983475,,,
9,oof_confusion,2,1,26,3.022663344722849,,,
9,oof_confusion,2,4,22,3.022663344722849,,,
9,oof_confusion,2,0,25,3.022663344722849,,,
9,oof_confusion,2,3,28,3.022663344722849,,,
9,oof_confusion,3,2,28,2.608598257900335,,,
9,oof_confusion,3,4,20,2.608598257900335,,,
9,oof_confusion,3,0,18,2.608598257900335,,,
9,oof_confusion,3,1,7,2.608598257900335,,,
9,oof_confusion,4,3,23,2.9726466951015293,,,
9,oof_confusion,4,1,5,2.9726466951015293,,,
9,oof_confusion,4,2,16,2.9726466951015293,,,
9,oof_confusion,4,0,8,2.9726466951015293,,,
9,branch_debug,0,1,95,1.9388596576709207,25,0.27548086418103734,0
9,branch_debug,0,2,84,1.9388596576709207,20,0.33172044633443265,1
9,branch_debug,1,0,102,2.224878106983475,35,0.38108385598740546,0
9,branch_debug,1,2,90,2.224878106983475,28,0.6441522426249875,1
9,branch_debug,2,3,86,3.022663344722849,28,0.9984084260278705,0
9,branch_debug,2,1,87,3.022663344722849,26,0.8237581006112173,1
9,branch_debug,3,2,97,2.608598257900335,28,0.6685322030832443,0
9,branch_debug,3,0,85,2.608598257900335,18,1.014631803539933,1
9,branch_debug,4,3,64,2.9726466951015293,23,1.5631613117424061,0


