split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,coupling_distance_angle,coupled_confusion_score
4,3,1,0,0,0.630590177514933,26.75860092110654,2.2871956315455657,25,0.8288006575741139,0.690667214645095
4,3,2,0,0,0.4265748734822913,25.63367219249706,2.648411720194886,79,1.2789530273872853,3.367909638786518
4,3,4,0,1,0.40525095993901317,26.00249423603357,2.460671422194542,48,1.3271549464248558,2.1234479142797693
4,0,1,1,0,0.4364841328906597,14.401277058330173,2.8007518433401435,68,2.2248012745500687,5.042882888980156
4,0,2,1,0,0.6021536478731033,17.333615363930544,2.316013997652321,33,1.339874784754989,1.473862263230488
4,0,3,1,0,0.779292673015435,27.91712895743275,2.208210949799443,22,0.6428199481170813,0.4714012952858596
4,0,4,1,1,0.8389631433383912,37.003824012947966,1.9298562975055913,11,0.4504755270858513,0.1651743599314788
4,4,0,1,1,0.8389631433383912,37.003824012947966,1.9298562975055913,11,0.4504755270858513,0.1651743599314788
4,4,1,1,0,0.6777440879326864,33.365759018800446,2.1251328542200625,17,0.6184348350375714,0.35044640652129044
4,4,2,1,0,0.40986177144795444,25.027765412755045,2.445471402188662,27,1.3633306631107212,1.2269975967996491
4,4,3,1,0,0.40525095993901317,26.00249423603357,2.460671422194542,48,1.3271549464248558,2.1234479142797693
5,1,0,0,1,0.4379442244359461,12.677546101475949,3.719701854905288,63,2.24365644032899,4.15736340413901
5,1,2,0,0,0.4937214071142579,17.513816168195635,3.3720839573562595,35,1.4406139411892607,1.482984939459533
5,1,3,0,1,0.6435528417322715,23.481295214207194,3.1110702260060905,25,0.8243356784709579,0.6061291753462926
5,1,4,0,0,0.7081196702692568,27.46765875634222,2.8870087794200643,13,0.6404453199704594,0.24487615175341093
5,2,0,0,1,0.5874040535279182,16.57928681457977,3.2165074050712823,38,1.2791090577217714,1.429592476277274
5,2,1,0,0,0.4937214071142579,17.513816168195635,3.3720839573562595,35,1.4406139411892607,1.482984939459533
5,2,3,0,1,0.4385836650285002,23.076247808629816,3.581686089973019,67,1.2308148053576615,2.4254291752636274
5,2,4,0,0,0.41343467203008155,22.942910093786743,3.3737867893429585,37,1.313272831098887,1.4291498456076122
5,4,0,0,1,0.8360600130365472,28.700733546574867,2.7563038453448567,16,0.5191345205701137,0.2442985979153476
5,4,1,0,0,0.7081196702692568,27.46765875634222,2.8870087794200643,13,0.6404453199704594,0.24487615175341093
5,4,2,0,0,0.41343467203008155,22.942910093786743,3.3737867893429585,37,1.313272831098887,1.4291498456076122
5,4,3,0,1,0.4137286024212141,23.167424658908708,3.382074858449403,33,1.2996219946401948,1.2613978183272478
5,0,1,1,0,0.4379442244359461,12.677546101475949,3.719701854905288,63,2.24365644032899,4.15736340413901
5,0,2,1,0,0.5874040535279182,16.57928681457977,3.2165074050712823,38,1.2791090577217714,1.429592476277274
5,0,3,1,1,0.7657493266402143,23.012430539177462,3.105805421468256,27,0.70690531005454,0.5613659815138994
5,0,4,1,0,0.8360600130365472,28.700733546574867,2.7563038453448567,16,0.5191345205701137,0.2442985979153476
5,3,0,1,1,0.7657493266402143,23.012430539177462,3.105805421468256,27,0.70690531005454,0.5613659815138994
5,3,1,1,0,0.6435528417322715,23.481295214207194,3.1110702260060905,25,0.8243356784709579,0.6061291753462926
5,3,2,1,0,0.4385836650285002,23.076247808629816,3.581686089973019,67,1.2308148053576615,2.4254291752636274
5,3,4,1,0,0.4137286024212141,23.167424658908708,3.382074858449403,33,1.2996219946401948,1.2613978183272478
6,1,0,0,1,0.4815222742592458,16.37688384791477,2.3982513168104997,58,1.8968255275603003,2.7503970149624353
6,1,2,0,0,0.5134479881288032,18.722732611791972,2.3228620697584352,49,1.5559991114689153,1.9060989115494213
6,1,3,0,1,0.6585247307089231,29.856658384651045,1.7908212437716835,25,0.7607846608953185,0.47549041305957407
6,1,4,0,0,0.7115578040926909,28.85011256262232,1.8652173138812747,14,0.7286472630983181,0.25502654208441133
6,2,0,0,1,0.6158579456336697,18.53037992734617,2.2034937187413006,40,1.3107207157376304,1.3107207157376304
6,2,1,0,0,0.5134479881288032,18.722732611791972,2.3228620697584352,49,1.5559991114689153,1.9060989115494213
6,2,3,0,1,0.46019331414133313,26.889780609203996,2.285277717718605,49,1.208780575381489,1.4807562048423242
6,2,4,0,0,0.402584741426864,24.101347081066184,2.288552671699388,40,1.5416167084587664,1.5416167084587664
6,4,0,0,1,0.8578914878040738,32.921229703364034,1.6979676331439297,8,0.5296227456548229,0.1059245491309646
6,4,1,0,0,0.7115578040926909,28.85011256262232,1.8652173138812747,14,0.7286472630983181,0.25502654208441133
6,4,2,0,0,0.402584741426864,24.101347081066184,2.288552671699388,40,1.5416167084587664,1.5416167084587664
6,4,3,0,1,0.42833933353139175,26.091617840445693,2.2481400666350586,57,1.3384004397448022,1.9072206266363432
6,0,1,1,0,0.4815222742592458,16.37688384791477,2.3982513168104997,58,1.8968255275603003,2.7503970149624353
