stage,objective,val_acc,val_bal_acc,val_fp,test_acc_at_selection_time,top_k,dim,energy,alphas_json,w,round,split,beam_rank,fixed_val_vs_round1,broken_val_vs_round1,fixed_test_vs_round1,broken_test_vs_round1,temperature,topk_r2,w2,alphas_r2_json
round1_scan,0.8077135460087599,0.7050754458161865,0.7039611542420532,0.07390182359336357,0.6995614035087719,4000,48,0.95,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8076376294509269,0.7050754458161865,0.7034795412604402,0.07399368885814232,0.706140350877193,4000,48,0.95,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8187406276390254,0.7146776406035665,0.7128057449686663,0.0714468677460239,0.6907894736842105,4000,48,0.95,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.80585305219983,0.7037037037037037,0.7008039523488961,0.07428110890520648,0.6864035087719298,4000,48,0.95,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8043237184279436,0.7023319615912208,0.6998397138846577,0.07460500614939854,0.6907894736842105,4000,48,0.95,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8058981548271139,0.7037037037037037,0.701096565141509,0.07425084119540352,0.6907894736842105,4000,48,0.95,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7996074045394646,0.6982167352537723,0.6960994213803202,0.07560609803389295,0.6820175438596491,4000,48,0.95,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.7978798021448145,0.6968449931412894,0.6938109453558892,0.07592081999645754,0.6864035087719298,4000,48,0.95,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.7995404932424767,0.6982167352537723,0.6956439096888536,0.0755707116155913,0.6929824561403509,4000,48,0.95,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8026896745376464,0.700960219478738,0.6981661065930729,0.07488652325131398,0.6864035087719298,4000,48,0.95,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8059282149309753,0.7037037037037037,0.7013031722301385,0.0742741151812315,0.6864035087719298,4000,48,0.95,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8058449097642569,0.7037037037037037,0.7007531604441717,0.0742942001518154,0.6820175438596491,4000,48,0.95,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8106915737035039,0.7078189300411523,0.7053396193845632,0.07320748113332351,0.6842105263157895,4000,48,0.99,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8075471234246805,0.7050754458161865,0.7028646725275939,0.07395058176612834,0.6842105263157895,4000,48,0.99,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8060248670853059,0.7037037037037037,0.7019476841106055,0.0742747308747183,0.6864035087719298,4000,48,0.99,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8061323208548747,0.7037037037037037,0.7026570529379519,0.07424851973804412,0.6951754385964912,4000,48,0.99,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8028156248990055,0.700960219478738,0.6990383743192732,0.07500876819058666,0.7039473684210527,4000,48,0.99,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8139764550481035,0.710562414266118,0.7087516909146123,0.07246782138016064,0.6885964912280702,4000,48,0.99,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8026834953815583,0.700960219478738,0.6981484996934435,0.07497497627990707,0.6820175438596491,4000,48,0.99,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8011548475224615,0.6995884773662552,0.6971842612292051,0.07528172570436144,0.6842105263157895,4000,48,0.99,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7979644254179201,0.6968449931412894,0.6943870584320022,0.07596566220424086,0.6842105263157895,4000,48,0.99,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.794864161015117,0.6941015089163237,0.6921871174680163,0.0766353880352288,0.6776315789473685,4000,48,0.99,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.7962990279316511,0.6954732510288066,0.6925068440517879,0.07625624262309279,0.6798245614035088,4000,48,0.99,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.7995542173159299,0.6982167352537723,0.6957384097833537,0.07558198513363662,0.6842105263157895,4000,48,0.99,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.7979328244258794,0.6968449931412894,0.6941593025862689,0.07590160258375835,0.6798245614035088,4000,48,0.99,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8027595252918318,0.700960219478738,0.6986477195746859,0.07494630307772618,0.6820175438596491,4000,48,0.99,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8010951471595775,0.6995884773662552,0.6967936064846177,0.07530927948425975,0.6776315789473685,4000,48,0.99,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8138912544059417,0.710562414266118,0.7082016791286454,0.07253529323682885,0.6885964912280702,4000,64,0.9,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8090923870631443,0.7064471879286695,0.7039410179859618,0.07364883908548168,0.6885964912280702,4000,64,0.9,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8092448058248116,0.7064471879286695,0.7049429996059209,0.07359580111864657,0.6864035087719298,4000,64,0.9,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.806104726143945,0.7037037037037037,0.7024680527489517,0.07422963680253707,0.6885964912280702,4000,64,0.9,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7998514617171767,0.6982167352537723,0.6977423730232719,0.07566573725215783,0.6885964912280702,4000,64,0.9,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8139552910094611,0.710562414266118,0.7086099407728621,0.07246535931465391,0.6885964912280702,4000,64,0.9,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8107416467977896,0.7078189300411523,0.705679482224426,0.07323013942566468,0.6885964912280702,4000,64,0.9,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8061948762169264,0.7037037037037037,0.7030617727246942,0.07420233488703665,0.6864035087719298,4000,64,0.9,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7935384518191018,0.6927297668038409,0.6925823303632292,0.07696661348058798,0.6864035087719298,4000,64,0.9,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7919492529755872,0.691358024691358,0.6912309790118779,0.07733546418881394,0.6907894736842105,4000,64,0.9,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.7995980902314082,0.6982167352537723,0.6960310225759663,0.07558246021897608,0.6842105263157895,4000,64,0.9,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.7995987224384686,0.6982167352537723,0.6960310225759664,0.07556665504246254,0.6885964912280702,4000,64,0.9,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.7947779580179232,0.6941015089163237,0.6916074625344288,0.07661675696411965,0.6842105263157895,4000,64,0.9,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7916207146250799,0.691358024691358,0.6890380155829594,0.07732531009305121,0.6864035087719298,4000,64,0.9,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7932715454865071,0.6927297668038409,0.6908237298686737,0.07704451994087312,0.6842105263157895,4000,64,0.9,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8154136282313502,0.7119341563786008,0.7091186675456338,0.07220820697739269,0.6885964912280702,4000,64,0.95,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8138675858218024,0.710562414266118,0.7080423220872658,0.07252941893513645,0.6907894736842105,4000,64,0.95,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8154549328210267,0.7119341563786008,0.7093936734386173,0.07220686433416855,0.6995614035087719,4000,64,0.95,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8187615525720067,0.7146776406035665,0.7129651020100459,0.07152133332666707,0.7039473684210527,4000,64,0.95,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8156948689111387,0.7119341563786008,0.7110105237914226,0.07227165090438843,0.706140350877193,4000,64,0.95,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8170865093274242,0.7133058984910837,0.711020030682952,0.07180984415255746,0.6907894736842105,4000,64,0.95,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8106775945088311,0.7078189300411523,0.7052451192900631,0.07320258564576636,0.6885964912280702,4000,64,0.95,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8058982622385719,0.7037037037037037,0.701096565141509,0.07424815590895523,0.6973684210526315,4000,64,0.95,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8157463942652967,0.7119341563786008,0.7113292378741817,0.07217869486078343,0.6951754385964912,4000,64,0.95,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8125539491247022,0.7091906721536351,0.7085320350769788,0.07291320726199127,0.6885964912280702,4000,64,0.95,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
